event_name,people,date,time start,time finish,event_description,event_type,link_to_event,where,registration_status
"Town Hall Meeting: Art, Soil, and Community","Fara Peluso, Santiago Morilla, Emma Harris, Mali Weil, Nicoletta Tranquillo",6.09,15:00,16:30,A conversation with the main protagonists of the Tilling Roots & Seeds project.,networking,https://ars.electronica.art/panic/en/view/town-hall-meeting-art-soil-and-community-22c38ddb450c80999fc7d721f094161f/,"POSTCITY, First Floor, Town Hall, co-hosted by CIFRA",did not register you
deep space futurelab night,,6.09,20:00,21:30,,exhibition,,,registered
Speed Dating Recipes—Common Feasts,Philippe Mistakopulo,6.09,17:30,19:00,"This session uses food, care, and shared gestures as tools of resistance and belonging, inviting participants to connect over cocktails and spark new personal and creative collaborations.",networking,https://ars.electronica.art/panic/en/view/speed-dating-recipes-common-feasts-23938ddb450c8123ba9cf1de8b6be4b7/,"POSTCITY, First Floor, Town Hall, co-hosted by CIFRA",did not register you
NO PANIC Science Slam,Gregor Pechmann,6.09,17:00,18:00,a fast-paced showcase where JKU researchers present bold ideas with creativity and courage.,events/concerts/performances,https://ars.electronica.art/panic/en/view/no-panic-science-slam-23e38ddb450c81038acdc21f8aa46879/,"POSTCITY, First Floor, JKU Square - LIT Exhibition",
external operator,"Ilia Viazov, Paulina Andrzejak, Diego Alejandro Morales Castillo",6.09,18:30,19:00,"A performance of sonic co-dependence where two musicians, guided by an external operator, use self-made instruments and motion tracking to explore identity loss through language attrition and assimilation.",events/concerts/performances,https://ars.electronica.art/panic/en/view/external-operator-23038ddb450c8172a05ff25b7724ca70/,"POSTCITY, Ground Floor, Train Hall",
Ars Electronica Campus Award,,6.09,17:30,19:00,,events/concerts/performances,https://ars.electronica.art/panic/en/view/ars-electronica-campus-award-22d38ddb450c80df8186dd9658cd9604/,"POSTCITY, First Floor, Conference Hall",registered
Linzmassol: A tale of two cities,,6.09,18:00,19:00,"Linzmassol is an exhibition and performance linking Limassol and Linz through artifacts, AI imagery, and comics, culminating in a riverwalk that continues the story of its young seaside heroine.",events/concerts/performances,https://ars.electronica.art/panic/en/view/linzmassol-a-tale-of-two-cities-23f38ddb450c80f283eddac7fbdc2784/,"Ars Electronica Center, Level 0, Meeting Point: Foyer",
Spotlight Tour: PANIC: Complex. Absurd. Ominous. ,"Marinos Koutsomichalis, Andra Panainte, Kristina Thuduwage, Giorgos Pitsillis, Maria Zikou",7.09,10:30,12:00,,exhibition,https://ars.electronica.art/panic/en/view/spotlight-tour-panic-complex-absurd-ominous-en-23438ddb450c808e9b74e3077cb72e48/,POSTCITY First Floor. WE GUIDE YOU Meeting Point,bought tickets
Town Hall Meeting: How to partner with the Ars Electronica Festival?,"Christl Baur, Veronika Liebl",7.09,12:30,13:30,"to meet the festival team, share ideas, and explore opportunities for future collaborations",networking,https://ars.electronica.art/panic/en/view/town-hall-meeting-how-to-partner-with-the-ars-electronica-festival-22d38ddb450c80d4994de852b1d945c7/,"POSTCITY, First Floor, Ars Electronica Lounge",registered
Town Hall Meeting: Prix Ars Electronica 2025 Trend & Insight,Emiko Ogawa,7.09,14:00,15:30,"This session with Head of Prix Ars Electronica, offers insights into this year’s award-winning works and invites participants to discuss their trends, meanings, and possible applications to their own practice.",networking,https://ars.electronica.art/panic/en/view/town-hall-meeting-prix-ars-electronica-2025-trend-insight-22c38ddb450c804da05ee800ed4cb36b/,"POSTCITY, First Floor, Ars Electronica Lounge",registered
deep space cultural astronomy,,7.09,17:00,17:30,,,,,registered
