Name,Photo,Contact,Role,Institution,Institution Description,Festival Role,Attendance,Bio,Conversation Tip,Institution Link
Adnan Balcinovic,,,Artist / Contributor,AT,,Project – Tuesday I Became Clouds,Probably,Contributor to “Tuesday I Became Clouds”: The artistic research project Tuesday I Became Clouds explores the relationship between artistic and scientific representation through looking at images of clouds. Clouds are understood as boundary objects that can start conversations in between multiple disciplinary fields.,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Adrian Rudershausen,,https://mensch-maschine.org,Workshop leader,DE Germany,,Workshop – Character Lab: Digital Companions for a Festival of the Future,Definitely,"Adrian Rudershausen (Bremen, Germany) has spent 20 years working as a researcher and consultant, supporting organizations through processes of transformation and innovation. Within the SynMM/Mensch-Maschine collective, he is responsible for AI behavior design, prompt engineering and evaluation of AI systems.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,https://mensch-maschine.org
Adrien Lucca,,https://www.instagram.com/studioadrienlucca/,Tour contributor,FR France,,Project – Parallel World; Guided Tour – Artist Walk Tour: Negotiating Beyond Humanity,Definitely,"Adrien Lucca (b. 1983, Paris) is a visual artist based in Brussels. Since 2009, his work has investigated colour and light at the intersection of art, physics, perception and biology. He develops custom optical and lighting technologies to create installations, paintings and monumental public artworks that transform how colour is perceived. His recent research focuses on non-human visual worlds and the ecological effects of artificial light.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://adrienlucca.net
Adrienn Horváth,,,Artist / Contributor,HU,,Project – Immersive Beats,Probably,"Contributor to “Immersive Beats”: Born from a cross-cultural collaboration between Korean and Hungarian students, the project combines Artificial Intelligence, music and immersive filmmaking techniques to create original 360-degree music videos.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Agda Carvalho,,,Artist / Contributor,BR,,Project – Biomimetic + P.U.L.S.A.R,Probably,"Contributor to “Biomimetic + P.U.L.S.A.R”: The artwork explores self-regulating responsive systems mapping environmental gestures. Inspired by fungi and Mimosa pudica, it transforms natural behaviors into interactive responses, metaphorically reflecting interpersonal relationships through adaptation, feedback and connect…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Agnes Czernin-Kinsky,,https://www.linkedin.com/in/agnes-czernin-kinsky-b65063127/,Panelist,AT Austria,,Panel Discussion – mozXR: Empowering Creative Minds in XR,Definitely,"With a background in 3D and motion graphics, Agnes Czernin-Kinsky moved into augmented and extended reality, combining creative work with technical problem-solving. She joined Mozarteum University Salzburg, where she help develop and set up the X-Reality-Lab and work on related XR initiatives, including the MozXR framework, festival planning, and the master’s program. Her work combines content creation, technical implementation, project organization, and conceptual development.",Ask about their work in Panel Discussion and possible exchange or residency ideas with hosq in Armenia.,
Agnes Maria Ilona Czernin-Kinsky,,,Panelist,AT,,Panel Discussion – mozXR: Empowering Creative Minds in XR,Definitely,"Contributor to “mozXR: Empowering Creative Minds in XR”: oin the developers, artists and researchers behind the project as they share insights into MozXR’s development, its potential for creative practice and new possibilities for creating immersive experiences.",Ask about their work in Panel Discussion and possible exchange or residency ideas with hosq in Armenia.,
Agnes Meyer-Brandis,,https://www.instagram.com/agnesmeyerbrandis/,Tour contributor,DE Germany,,Lecture & Talk – The More-than-Human Laboratory; Guided Tour – Artist Walk Tour: Negotiating Humanity; Project – Office for Tree Migration (OTM),Definitely,"Agnes Meyer-Brandis has a background in sculpture and new media. She creates works on the fringes of science, technology and the imagination, and founded the ResearchRaft FFUR, an Institute for Art & Subjective Science that “is asking questions but gives no answers“ in fields such as climate research as well as synthetic and artistic biology. Meyer-Brandis’ work has been exhibited worldwide and awarded many prizes, including two Prix Ars Electronica Awards of Distinction and the European Kairos prize.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,http://www.ffur.de
Ahmad Aiub,,,Artist / Contributor,EG,,Project – SovereigntyMeter,Probably,"Contributor to “SovereigntyMeter”: SovereigntyMeter scans any domain to visualize the political and physical geography of its infrastructure: server location, corporate ownership, routing and undersea cable dependencies.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
AI research,,,Panelist,,,"Panel Discussion – Who Heals Tomorrow? AI, Medicine and the Future of Decision-Making",Definitely,"Contributor to “Who Heals Tomorrow? AI, Medicine and the Future of Decision-Making”: In a fishbowl format, experts from the fields of medicine, AI research and law will discuss the opportunities and risks of AI in healthcare with patient representatives and a live audience—exploring ways in which innovation, responsibility and safety can all be brought together…",Ask about their work in Panel Discussion and possible exchange or residency ideas with hosq in Armenia.,
Aimée Craft,,https://www.linkedin.com/in/aimee-craft-40007079/,Speaker,CA Canada,,Lecture & Talk – Being in Relationship with Water; Panel Discussion – Joint Q&A,Definitely,"Aimée Craft is a lawyer and law professor from Canada of Indigenous (Anishinaabe-Métis) and settler ancestry. She holds a University Research Chair in Indigenous governance in relationship with land and water and leads Decolonizing Water, a major research initiative exploring Indigenous relationships with and responsibilities to nibi (water). Treaty Words, her acclaimed children’s book, explains treaty philosophy inspired by relationships with the natural world.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,https://aimeecraft.ca/
Airan Berg,,https://www.jku.at/zirkus-des-wissens/,Artist / Participant,AT Austria,,Project – RADICAL GAMING,Probably,"Airan Berg is a theater maker and artistic director known for his socially engaged and interdisciplinary work. As Circus Director of the Circus of Knowledge, he connects both arts and science. He has led cultural institutions, festivals and theaters, and is particularly recognized for integrating diverse communities into artistic processes.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://www.jku.at/zirkus-des-wissens/
Akademie des Österreichischen Films,,,Open Lab contributor,AT,,Open Lab – Film City; Open Lab – behind the scenes,Definitely,"Contributor to “Film City”: Film City gives visitors an insight into the world of filmmaking while offering plenty of opportunities to get involved themselves. Together with professional filmmakers, participants will develop scenes, improvise, edit footage and much more.",Ask about their work in Open Lab and possible exchange or residency ideas with hosq in Armenia.,
Alain Renaud,,,Conference contributor,CH,,Conference – Academic Session: Art Track #4 Embodiment,Definitely,"Contributor to “Academic Session: Art Track #4 Embodiment”: The Academic Session #4 Art Track: Embodiment presents five contributions from the Expanded Conference Open Call that explore embodied interaction, perception and the relationship between human bodies and emerging technologies in expanded animation and interactive art.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Albert Barqué-Duran,,,Conference contributor,ES,,Conference – Academic Session: Art Track #4 Embodiment,Definitely,"Contributor to “Academic Session: Art Track #4 Embodiment”: The Academic Session #4 Art Track: Embodiment presents five contributions from the Expanded Conference Open Call that explore embodied interaction, perception and the relationship between human bodies and emerging technologies in expanded animation and interactive art.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Alena Vaculikova,,,Artist / Contributor,CZ,,Project – Remote Twins,Probably,"Contributor to “Remote Twins”: Remote Twins is an installation connecting biodiversity monitoring with architecture for non-human actors. It consists of two parts: one in a natural environment, equipped with a camera detecting and identifying insects, and the other in the exhibition space, visualizing data co…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Alessandro Bravin,,,Artist / Contributor,IT,,Project – What does the skin remember?,Probably,"Contributor to “What does the skin remember?”: What does the skin remember? is a performance-based research project with two performers wearing custom wearable devices. Inspired by contact improvization, it explores touch as a way of listening and connecting through movement.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Alessandro Martinelli,,https://www.jku.at/linz-school-of-education/linz-school-of-education/abteilung-fuer-mint-didaktik/team/martinelli-alessandro/,Artist / Participant,IT Italy,,Project – 13,Probably,"Alessandro Martinelli is a post-doctoral researcher at Johannes Kepler University Linz. He holds a PhD from La Sapienza University of Rome, where he specialized in computer graphics, descriptive geometry and Virtual Reality. His research focuses on the application of advanced digital technologies within educational contexts. As a project investigator, he manages international initiatives such as Horizon Europe and Erasmus+ in the Linz School of Education.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://www.jku.at/linz-school-of-education/linz-school-of-education/abteilung-fuer-mint-didaktik/team/martinelli-alessandro/
Alex Hackl,,,Artist / Contributor,AT,,Project – It-didn’t-rain-that-day_TREE OF THOUGHT,Probably,"Contributor to “It-didn’t-rain-that-day_TREE OF THOUGHT”: A live-generated investigation game interrogating the Turing Test as a simulacrum of human communication. As time travellers through “Die Verschissene Zeit” (Markovic) with AI, visitors rewrite the past between platform capitalism and growing techno-fascism.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Alex Lopez Rodriguez,,,Artist / Contributor,"ES, US",,Project – Plato’s [AI]legory of the Cave,Probably,Contributor to “Plato’s [AI]legory of the Cave”: Plato’s [Al]legory of the Cave is an interactive installation featuring an LLM-controlled character who exists only as a shadow.,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Alexander Boboschewski,,,Open Lab contributor,AT Austria,,Open Lab – Open Space,Probably,"Alexander Boboschewski is a Director of Photography, cinematographer and film producer from Vienna. Since 1986, he has been telling stories through moving images—for film, television and international productions. His visual language combines intuition and precision, light and movement, emotion and technique. Whether feature film, documentary or live production: for him, it always comes down to the image that brings a story to life.",Ask about their work in Open Lab and possible exchange or residency ideas with hosq in Armenia.,
Alexander Damianos,,https://www.linkedin.com/in/alexander-damianos,Networking host / guest,"GB United Kingdom, GR Greece",,Project – Update of the Anthropocene Great Acceleration Charts; Networking Event – Updating the Great Acceleration Charts: New Signals for a Changing World,Definitely,"Alexander Damianos is a lecturer and researcher in environmental law at the University of Kent. He is a fellow of the Institute of Advanced Legal Studies, University of London, where he founded and convenes the Law and Environmental Humanities Network. He is the author of Science, Politics and the Anthropocene Working Group: What was the Anthropocene?. His work has been published in journals including Law & Critique; Global Sustainability and Social Studies of Science.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,http://www.alexdamianos.com
Alexander Janus,,,Artist / Contributor,AT,,"Project – 12.5 square meters—space for a car, or…",Definitely,"Contributor to “12.5 square meters—space for a car, or…”: The project started with an empty parking space in the schoolyard and the children’s complaints about the lack of space to move around.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Alexander Sängerlaub,,https://www.linkedin.com/in/alex-s%C3%A4ngerlaub-bb29b5201/,Panelist,DE Germany,,"Panel Discussion – From Outrage to Influence: How Psychology, Creators and Platforms Shape Political Debate",Definitely,"Alexander Sängerlaub is founder and president of futur eins, working on digital public spheres and the vision of an informed society. A former executive director, think tank lead and constructive journalism pioneer, he has led projects on disinformation, fact-checking, news literacy and the future of journalism. He advises organizations, teaches at Freie Universität Berlin and is a frequent speaker and moderator on media, democracy and AI.",Ask about their work in Panel Discussion and possible exchange or residency ideas with hosq in Armenia.,https://futureins.org
Alexander Wilhelm,,,Artist / Contributor,AT,,Experience – Interactive Brosch – Red Dinosaurs,Definitely,"Contributor to “Interactive Brosch – Red Dinosaurs”: Interactive Brosch presents Klemens Brosch’s unfinished masterpiece Red Dinosaurs as a gigapixel artwork, an abstract animated film and an interactive world. Blending art archives, storytelling and media art, the project invites visitors to explore and experience cultural herita…",Ask about their work in Experience and possible exchange or residency ideas with hosq in Armenia.,
Alexandra Burgos-Thorsen,,https://www.linkedin.com/in/alexandra-burgos-/,Workshop leader,"CL Chile, US United States",,Workshop – Seeds of the Unthinkable,Definitely,"Alexandra Burgos-Thorsen is a landscape architect, artist and researcher from the US/Chile/Honduras, based in Copenhagen. Rooted in decolonial and multispecies thinking, she treats landscapes as living archives of memory, power and possible futures, proposing nature-based solutions as acts of care oriented toward many forms of life. She holds a lecturer position at the University of Copenhagen and serves as a Living Labs research assistant at the Green Solutions Centre.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Alexandra Crasnaru Dragomir,,https://www.instagram.com/projectsthatsparkjoy?igsh=MXU2OHVleXMwMjVpeA==,Tour contributor,"DE Germany, RO Romania",,Guided Tour – Artist Walk Tour: Negotiating Beyond Humanity,Definitely,"Alexandra Crasnaru Dragomir is a Berlin-based cultural manager, curator and exhibition producer who works across contemporary art and culture. With a background in screenwriting, film studies and audiovisual communication, she is drawn to projects that challenge perspectives and contribute to cultural dialogue in a rapidly changing world. She works with institutions and artists across Europe, contributing to projects where art becomes a catalyst for understanding, connection and (co-)creation.",Ask about their work in Guided Tour and possible exchange or residency ideas with hosq in Armenia.,https://projectsthatsparkjoy.com/
Alexandra Fruhstorfer,,,Workshop leader,AT,,Workshop – A Furry Engineer!,Definitely,"Contributor to “A Furry Engineer!”: In a playful creative futuring and scenario-building lab, participants will collectively map out the Linz Danubian ecosphere over the next 25 years. At the center of attention will be a special furry inhabitant—the beaver—playing the part of a primary cultural, political and tec…",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Alexandra Scharl,,,Open Lab contributor,AT,,Open Lab – Positive Making,Probably,"Contributor to “Positive Making”: Participants create personal mini-zines and put their ideas for the future into circulation. A creative workshop about agency, diversity and positive visions of the future.",Ask about their work in Open Lab and possible exchange or residency ideas with hosq in Armenia.,
Alexandra Verzier,,,Artist / Contributor,FR,,Project – MAMLAS-1,Probably,"Contributor to “MAMLAS-1”: The experimental game console MAMLAS-1 (Maneuverable Module for Land Assessment) puts the player in the role of a space rover exploring distant planets. With a limited battery, their task is to collect as many mineral samples as possible, while keeping the system stable.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Alexandre A. Bizri,,,Artist / Contributor,FR,,Project – Computational Dramaturgy,Probably,"Contributor to “Computational Dramaturgy”: Bringing together reconfigurations of theater, television and radio, this research cluster investigates emergent forms of storytelling enabled by artificial intelligence, where narratives are generated through the real-time interaction of computational and human actors.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Alfred Weidinger,,,Speaker,AT,,"Lecture & Talk – Reading the Room: Language, Systems, and Contemporary Art",Definitely,"Contributor to “Reading the Room: Language, Systems, and Contemporary Art”: Reading the Room: Language, Systems, and Contemporary Art brings together Manuela Naveau, Ana María Caballero, Sergio Fontanella and Alfred Weidinger on a panel moderated by Julia Staudach.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Ali Aiman Raza,,https://www.linkedin.com/in/aiman-raza-40622a1b8/,Artist / Participant,"FR France, IN India",,Project – Parallel World,Probably,"Dr. Aiman Raza is a senior color scientist at L’Oréal in Paris (France), whose primary research areas are lighting, imaging, color appearance, colorimetry and chronobiology. His research activities incorporate the human component of light and color perception, with an emphasis on experimentation to formulate empirical evidence.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Ali Nikrang,,https://ars.electronica.art/futurelab/en/nikrang-ali/,Open Lab contributor,AT Austria,,Open Lab – Hello Worlds! Behind the Prototype: Hybrid Thinking,Definitely,"Ali Nikrang is an AI researcher and musician, a professor of AI and Musical Creation at the University of Music and Theatre Munich and a researcher at Ars Electronica Futurelab. He established Ricercar, an AI co-composition system for classical and contemporary music, which has been utilized in projects with the Munich Philharmonic, Munich Radio Symphony Orchester, Bruckner Orchestra Linz, Augsburg Philharmonic, Darmstadt Philharmonic, State Orchestra Darmstadt and Georgian Chamber Orchestra Ingolstadt.",Ask about their work in Open Lab and possible exchange or residency ideas with hosq in Armenia.,https://ars.electronica.art/futurelab/en/nikrang-ali/
Ali Yaghoubi,,,Artist / Contributor,IR,,Project – Retinal Noise,Probably,"Contributor to “Retinal Noise”: Retinal Noise is a single channel audiovisual work exploring unstable perception through intermittent photographic flashes, darkness and electronic sound.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Alina Lugovskaya,,,Performer,RU Russia,,Performance – Press Start – RADICAL GAMING Performance at Main Square; Project – RADICAL GAMING; Performance – [not] breaking the cycle; Performance – Press Start – RADICAL GAMING Performance,Definitely,"Alina Lugovskaya is a freelance dance and performance artist, originally from Ukraine/Russia and currently based in Linz. She holds a BA in Performance and Pedagogy from the Anton Bruckner University Linz and is currently pursuing an MA in Movement Research. She tours internationally, including with the Joshua Monten Dance Company, and develops her own artistic projects. She also teaches urban-contemporary dance and movement workshops across Europe.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Alireza Khosroabadi,,,Artist / Contributor,IR,,Project – Vocal Duets,Probably,"Contributor to “Vocal Duets”: Vocal Duets is shaped around contemporary conflicts between languages and countries, conflicts that take the form of war.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Alisa Martynova,,https://www.instagram.com/alisamartynova_/,Artist / Participant,RU Russia,,Panel Discussion – From Collection to Connection; Experience – Dissonant Stereoscopy,Definitely,"Alisa Martynova (b. 1994) is an artist and documentary photographer based in Florence, Italy. A Leica ambassador since 2019, her work explores identity, migration, perception and technology. She is a World Press Photo winner (2021) and recipient of the Canon Young Photographers Award (2019), LensCulture Emerging Talent Award (2023), Royal Photographic Society Documentary Photography Award (2023) and the Italian Ministry of Culture’s Strategia Fotografia grant (2025).","Ask about their work in Experience, Panel Discussion and possible exchange or residency ideas with hosq in Armenia.",https://www.alisamartynova.com
Alison Winch,,https://www.gold.ac.uk/media-communications/people/winch-alison/,Keynote speaker,GB United Kingdom,,Keynote – The New Patriarchs of Digital Capitalism; Panel Discussion – Roundtable Discussion,Definitely,"Alison Winch is an academic and poet. She has published on gender, branding and digital media. She co-authored The New Patriarchs of Digital Capitalism: Celebrity Tech Founders and Networks of Power (Routledge, 2021), and she has a new book on the subject of platforms and the promotional industries forthcoming.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,https://www.gold.ac.uk/media-communications/people/winch-alison/
Aljosa Smolic,,,Artist / Contributor,CH,,Project – Deus in Machina,Probably,"Contributor to “Deus in Machina”: An interactive AI installation portraying Jesus as a generative avatar within a confessional booth-inspired wooden box, Deus in Machina invites visitors into voice-based conversations on faith, ethics and spirituality.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Allison Ward,,,Artist / Contributor,US,,Project – Pedaling Falsity: The Plights of Womanhood,Probably,"Contributor to “Pedaling Falsity: The Plights of Womanhood”: Pedaling Falsity: The Plight of Womanhood uses humor, embodiment and interactivity to interrogate hyper-masculinity in experimental music, a world in which technical equipment is fetishized as a marker of credibility and mastery. The piece intentionally destabilizes those hierar…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Alper Alkan,,,Artist / Contributor,IR,,Project – Co-Blauw,Probably,"Contributor to “Co-Blauw”: Co-Blauw is a live painting installation. Visitors paint by holding and guiding the brush-equipped robot arm to create Delft Blue style strokes. From this demonstration, the robot learns the painters’ personal style and reproduces it. The robot’s small mistakes are where new mot…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Alzbeta Volhejnova,,,Artist / Contributor,CZ,,Project – MAMLAS-1,Probably,"Contributor to “MAMLAS-1”: The experimental game console MAMLAS-1 (Maneuverable Module for Land Assessment) puts the player in the role of a space rover exploring distant planets. With a limited battery, their task is to collect as many mineral samples as possible, while keeping the system stable.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Amin Davaei,,,Networking host / guest,IR Iran,,Networking Event – Missing Ingredients | How Cultural Communities Adapt Under Pressure,Definitely,"Amin Davaei is a curator, cultural entrepreneur and ecosystem builder creating platforms for dialogue, collective imagination and cultural exchange. For more than a decade, he has worked across the Middle East and Europe with artists, universities, festivals, institutions and public and private organizations. His interdisciplinary practice connects art, technology, science and society, building spaces where creativity, critical thinking and collective participation can thrive.",Use the networking moment to introduce hosq and ask about partnership frameworks.,
Amir Bastan,,,Open Lab contributor,IR,,Open Lab – Creative Coding Open House (WED 9.9.); Open Lab – Creative Coding Open House (THU 10.9.); Open Lab – Creative Coding Open House (SAT 12.9.); Open Lab – Creative Coding Open House (SUN 13.9.),Definitely,"Contributor to “Creative Coding Open House (SAT 12.9.)”: Whether you are a novvvvice or enjoying vvvv professionally, join us for an afternoon of demos. Bring your own patch or just check out what is on display.",Ask about their work in Open Lab and possible exchange or residency ideas with hosq in Armenia.,
Ana María Caballero,,https://anamariacaballero.com,Tour contributor,"CO Colombia, US United States",,"Lecture & Talk – Reading the Room: Language, Systems, and Contemporary Art; Project – Read the Room; Guided Tour – Artist Tour with Ana María Caballero and Curator Julia Staudach: “READ THE ROOM”",Definitely,"Ana María Caballero is an award-winning Colombian-American poet and multidisciplinary artist whose work explores embodiment, memory, care and the cultural ethics of emerging technologies, while reimagining poetry and the book for contemporary and digital worlds.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,https://anamariacaballero.com
Ana Paula Mendonça Alves,,,Artist / Contributor,BR,,Project – Biomimetic + P.U.L.S.A.R,Probably,"Contributor to “Biomimetic + P.U.L.S.A.R”: The artwork explores self-regulating responsive systems mapping environmental gestures. Inspired by fungi and Mimosa pudica, it transforms natural behaviors into interactive responses, metaphorically reflecting interpersonal relationships through adaptation, feedback and connect…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Ana Souto Neves,,https://www.instagram.com/ana.soutoneves/,Artist / Participant,PT Portugal,,Project – Pulse Clash,Probably,"Ana Souto Neves is a Portuguese designer and creative technologist based in the Netherlands. Currently completing a Creative Intelligence and Technology MA at Leiden University, her practice is focused on human-computer interaction, immersive experiences, mental health and accessibility. Guided by empathy, she blends technology and human-centred design to develop tools for use in installations, games and personal development.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://anasoutoneves.com/
Ana-Maria Carabelea,,https://www.instagram.com/anamar.cara/,Artist / Participant,GB United Kingdom,,Intro Session – Welcome Words; Panel Discussion – Fluid Media,Definitely,"Ana-Maria Carabelea is a London-based writer, researcher, cultural strategist, program curator and podcast producer. Over the past decade, she has developed and curated conference programs–and, occasionally, exhibitions–across the cultural and creative industries. She is the producer and host of Ars Electronica’s podcast Art Is Not a Thing and a doctoral researcher at Goldsmiths, University of London. Her research traces a genealogy of new media art.","Ask about their work in Intro Session, Panel Discussion and possible exchange or residency ideas with hosq in Armenia.",
Anastasia Marinova,,,Artist / Contributor,BG,,Project – Bloom,Probably,Contributor to “Bloom”: Bloom: A kinetic sculpture that translates the natural act of flowering into a precise mechanical choreography,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
and Design in Prague,,,Exhibiting artist,CZ,,Exhibition – Are We Getting Closer?,Probably,"Contributor to “Are We Getting Closer?”: UMPRUM students’ projects question established ways of seeing and knowing the world, proposing new forms of collaboration with human and non-human environments. The exhibition explores digital technologies as imperfect, generative tools that embrace the fluidity and complexity o…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Andi Zielecki,,,Artist / Contributor,DE,,Project – Das Trampeltier,Probably,Contributor to “Das Trampeltier”: Das Trampeltier is an eXtended Reality installation that transforms conceptual ideas of Max Ernst’s 1937 painting L’Ange du Foyer into an interactive narrative XR experience.,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Andrea Barschdorf-Hager,,,Speaker,AT,,Lecture & Talk – AI for Social Impact Award: Insights from the Jury & Introduction to the Initiative; Lecture & Talk – From AI for Good to AI for Action; Lecture & Talk – Opening Remarks,Definitely,"Contributor to “Opening Remarks”: Andrea Barschdorf-Hager, CEO of CARE Austria and Gerfried Stocker, Artistic Director of Ars Electronica, open the day by reflecting on the collaboration between the two organizations and the shared questions that bring the worlds of humanitarian action, art, technology and innov…",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
